site,associated_accession,emma_latitude,emma_longitude,rep,height_av_culm_cm,height_tallest_culm_cm,tillers,flowering_culms,dry_weight_g,dry_weight_mg,dry_weight_kg,area_cm,area_m,SLA_m2_kg,LMA_g_m2,tussock_width_av_cm,plant_area_cm_sq,leaf_width_mm,leaf_length_cm,mean_A,mean_Ca,mean_Ci,mean_gsw,mean_RHcham,mean_Tleaf,mean_VPDleaf,mean_Rd,WUEi,Rmass,MAT,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmestMonth,MinTempColdestMonth,TempAnnualRange,MeanTempWettestQuarter,MeanTempDriestQuarter,MeanTempWarmestQuarter,MeantempColdestQuarter,MAP,PrecipWettestMonth,PrecipDriestMonth,PrecipSeasonality,PrecipWettestQuarter,PrecipDriestQuarter,PrecipWarmestQuarter,PrecipColdestQuarter
Hornsby_Heights_NSW,Sydney_NSW,-33.62908,151.11302,2,55,58,30,18,0.1281,128.1,0.0001281,25.414,0.0025414,19.83918813,50.40528842,26,530.9291585,2.88,21.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,10.8,4.8,406.4,26.9,4.7,22.2,21.4,12,21.6,11.2,117.5,15,5.4,3,42.2,18.2,37.1,24.1
Hornsby_Heights_NSW,Sydney_NSW,-33.62908,151.11302,1,100,117,68,40,0.1646,164.6,0.0001646,27.504,0.0027504,16.70959903,59.84584061,52.5,2164.753688,3.19,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,10.8,4.8,406.4,26.9,4.7,22.2,21.4,12,21.6,11.2,117.5,15,5.4,3,42.2,18.2,37.1,24.1
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,5,40,44,51,4,0.0908,90.8,9.08E-05,20.708,0.0020708,22.8061674,43.84778829,34,907.9202769,2.992,16.18,12.68879347,398.303371,191.4452447,0.105201024,57.69523663,30.0509371,2.005440554,1.825903254,120.6147337,80.06181934,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,6,41,49,27,3,0.0801,80.1,8.01E-05,16.956,0.0016956,21.16853933,47.23991507,29.5,683.4927517,3.292,11.98,11.20397676,399.2404833,261.2534358,0.162545421,57.45831703,29.98191167,1.903888341,2.439057429,68.9282828,115.2208658,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,2,47,53,40,3,0.115,115,0.000115,26.116,0.0026116,22.70956522,44.03430847,35,962.1127502,3.594,15.74,16.38655932,395.1844333,162.868982,0.120593952,64.15662456,30.08792167,1.720364875,2.433241552,135.8820994,107.1461091,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,4,49,60,20,3,0.1303,130.3,0.0001303,28.468,0.0028468,21.84804298,45.7706899,36,1017.87602,3.986,16.16,14.04954943,397.0244742,197.7238895,0.122687372,55.03120136,30.12851038,2.036121401,2.057670266,114.5150411,94.18098764,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,1,50,60,37,2,0.1168,116.8,0.0001168,26.984,0.0026984,23.10273973,43.28490958,35,962.1127502,3.13,19.12,14.89007865,396.2884516,241.4094041,0.168003767,66.03571829,29.97716774,1.617267958,1.912988851,88.6294333,82.80354944,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Jindabyne_NSW,Jindabyne_NSW,-36.431837,148.620779,3,60,75,38,3,0.1426,142.6,0.0001426,31.085,0.0031085,21.79873773,45.87421586,32.5,829.5768101,3.828,19.54,9.113588472,401.2519667,284.493858,0.140514181,64.18499364,30.06065667,1.720277948,2.54036995,64.85885188,116.5374794,9.3,12.3,4.7,478.7,23.3,-2.7,26,6.2,15.1,15.3,3,107.9,11.6,6.4,1.6,32.6,22.1,22.2,28.8
Marlborough_QLD,Marlborough_QLD,-22.890693,149.769793,4,50,60,31,5,0.178,178,0.000178,50.734,0.0050734,28.50224719,35.08495289,42.5,1418.625433,2.916,37.96,13.14197966,403.1010333,150.5853876,0.086734104,71.53102549,31.63220333,1.520018467,1.515668518,151.5203262,53.17715857,22,11.7,5.2,381,31.6,9.1,22.5,25.9,17.6,26.2,16.5,83.1,15.9,2,6.5,40.7,7.2,40.3,8.6
Marlborough_QLD,Marlborough_QLD,-22.890693,149.769793,3,90,120,26,9,0.316,316,0.000316,73.332,0.0073332,23.20632911,43.09169258,37.5,1104.466167,3.204,47.74,10.07273607,404.5123608,150.9271393,0.066146529,69.08179693,31.36289871,1.639149478,1.688862717,152.2791325,72.77595301,22,11.7,5.2,381,31.6,9.1,22.5,25.9,17.6,26.2,16.5,83.1,15.9,2,6.5,40.7,7.2,40.3,8.6
Marlborough_QLD,Marlborough_QLD,-22.890693,149.769793,2,95,107,30,5,0.249,249,0.000249,46.723,0.0046723,18.76425703,53.29281082,55,2375.829444,3.362,35.14,9.081748953,404.8646312,158.5736828,0.061561863,67.09217396,31.37887968,1.725867696,1.660709914,147.5223216,88.50389926,22,11.7,5.2,381,31.6,9.1,22.5,25.9,17.6,26.2,16.5,83.1,15.9,2,6.5,40.7,7.2,40.3,8.6
Marlborough_QLD,Marlborough_QLD,-22.890693,149.769793,1,100,122,25,4,0.204,204,0.000204,48.36,0.004836,23.70588235,42.18362283,75,4417.864669,3.692,33.5,10.07485065,402.2062,198.123455,0.084088602,59.4315015,31.57745667,2.015295436,NA,119.8123214,NA,22,11.7,5.2,381,31.6,9.1,22.5,25.9,17.6,26.2,16.5,83.1,15.9,2,6.5,40.7,7.2,40.3,8.6
Marlborough_QLD,Marlborough_QLD,-22.890693,149.769793,5,100,110,71,12,0.29,290,0.00029,68.484,0.0068484,23.61517241,42.34565738,75,4417.864669,3.126,47.62,9.295341501,405.2462581,275.3193133,0.124550727,71.82000953,31.37842581,1.476089703,1.463629017,74.63096926,61.9783329,22,11.7,5.2,381,31.6,9.1,22.5,25.9,17.6,26.2,16.5,83.1,15.9,2,6.5,40.7,7.2,40.3,8.6
